"Order ID",Date,Product,"Country Code",UnitCost,UnitPrice,SalesQuantity,TotalCost,TotalPrice,TotalProfit,Year,Month,category
39,08/02/2016,"Orange Juice (Cardiff)",GBR,0.49,2.45,361,176.89,884.45,707.56,2016,February,beverages
40,09/02/2016,"Apple Juice (Dresden)",DEU,0.7,3.51,365,256.23,1281.15,1024.92,2016,February,beverages
41,10/02/2016,"Porridge (Portland)",USA,0.73,3.67,132,96.89,484.44,387.55,2016,February,food
42,11/02/2016,"Coffee (Toronto)",CAN,0.34,1.68,497,166.99,834.96,667.97,2016,February,beverages
43,12/02/2016,"Yoghurt (Auckland)",NZL,0.75,3.74,298,222.9,1114.52,891.62,2016,February,food
44,13/02/2016,"Granola Bar (Berlin)",DEU,0.75,3.73,359,267.81,1339.07,1071.26,2016,February,food
45,14/02/2016,"Almond Croissant (Sydney)",AUS,0.93,4.64,299,277.47,1387.36,1109.89,2016,February,pastries
46,15/02/2016,"Apple Juice (Albuquerque)",USA,1.03,5.17,382,394.99,1974.94,1579.95,2016,February,beverages
47,16/02/2016,"Porridge (Birmingham)",GBR,0.93,4.66,177,164.96,824.82,659.86,2016,February,food
48,17/02/2016,"Lemon & Ginger Tea (Toulouse)",FRA,0.77,3.84,149,114.43,572.16,457.73,2016,February,beverages
49,18/02/2016,"Tomato Juice (Boston)",USA,0.8,4.01,466,373.73,1868.66,1494.93,2016,February,beverages
50,19/02/2016,"Orange Juice (GdaÅ„sk)",POL,0.83,4.17,477,397.82,1989.09,1591.27,2016,February,beverages
51,20/02/2016,"Chocolate Chip Muffin (Kirkland)",USA,0.5,2.5,338,169,845,676,2016,February,pastries
52,21/02/2016,"Ham & Cheese Toastie (Paris)",FRA,0.69,3.44,401,275.89,1379.44,1103.55,2016,February,food
53,22/02/2016,"Granola Bar (Edinburgh)",GBR,1.03,5.13,215,220.59,1102.95,882.36,2016,February,food
54,23/02/2016,"Tuna Melt Panini (Brussels)",BEL,1.02,5.11,389,397.56,1987.79,1590.23,2016,February,food
55,24/02/2016,"Peach Juice (Toulouse)",FRA,0.46,2.32,150,69.6,348,278.4,2016,February,beverages
56,25/02/2016,"Lemon & Ginger Tea (Albuquerque)",USA,0.72,3.58,329,235.56,1177.82,942.26,2016,February,beverages
57,26/02/2016,"Chicken Fajita Wrap (Toronto)",CAN,0.99,4.97,335,332.99,1664.95,1331.96,2016,February,food
58,27/02/2016,"Still Water (Seattle)",USA,0.85,4.26,321,273.49,1367.46,1093.97,2016,February,beverages
59,28/02/2016,"Apple Juice (Vancouver)",CAN,0.96,4.78,169,161.56,807.82,646.26,2016,February,beverages
60,29/02/2016,"Tea (San Francisco)",USA,0.97,4.83,204,197.06,985.32,788.26,2016,February,beverages
61,01/03/2016,"Ham & Cheese Toastie (SÃ¸nderborg)",DNK,0.33,1.67,108,36.07,180.36,144.29,2016,March,food
62,02/03/2016,"Chicken Fajita Wrap (Auckland)",NZL,0.67,3.33,182,121.21,606.06,484.85,2016,March,food
63,03/03/2016,"Coffee (Manchester)",GBR,0.4,1.99,166,66.07,330.34,264.27,2016,March,beverages
64,04/03/2016,"Cheese & Pickle Sandwich (Vancouver)",CAN,0.37,1.85,217,80.29,401.45,321.16,2016,March,food
65,05/03/2016,"Tuna Melt Panini (Graz)",AUT,0.58,2.89,294,169.93,849.66,679.73,2016,March,food
66,06/03/2016,"Still Water (Sydney)",AUS,0.8,4.01,191,153.18,765.91,612.73,2016,March,beverages
67,07/03/2016,"Fruit Box (Manchester)",GBR,0.72,3.58,398,284.97,1424.84,1139.87,2016,March,food
68,08/03/2016,"Chicken Fajita Wrap (Cardiff)",GBR,0.58,2.9,103,59.74,298.7,238.96,2016,March,food
69,09/03/2016,"BLT Sandwich (Albuquerque)",USA,0.88,4.39,475,417.05,2085.25,1668.2,2016,March,food
70,10/03/2016,"Still Water (Graz)",AUT,0.74,3.69,234,172.69,863.46,690.77,2016,March,beverages
71,11/03/2016,"Tea (Geneva)",CHE,1.03,5.15,106,109.18,545.9,436.72,2016,March,beverages
72,12/03/2016,"Chocolate Twist (Sydney)",AUS,0.66,3.31,207,137.03,685.17,548.14,2016,March,pastries
73,13/03/2016,"Granola Bar (Portland)",USA,0.76,3.79,229,173.58,867.91,694.33,2016,March,food
74,14/03/2016,"Toast (Dublin)",IRL,0.51,2.57,466,239.52,1197.62,958.1,2016,March,food
75,15/03/2016,"Blueberry Muffin (Hamilton)",NZL,0.58,2.89,136,78.61,393.04,314.43,2016,March,pastries
76,16/03/2016,"Green Tea (Cardiff)",GBR,0.49,2.45,128,62.72,313.6,250.88,2016,March,beverages
77,17/03/2016,"Still Water (Hamilton)",NZL,0.91,4.57,275,251.35,1256.75,1005.4,2016,March,beverages
78,18/03/2016,"Chocolate Twist (Manchester)",GBR,0.83,4.14,422,349.42,1747.08,1397.66,2016,March,pastries
79,19/03/2016,"Chocolate Chip Muffin (Canberra)",AUS,0.68,3.41,203,138.45,692.23,553.78,2016,March,pastries
80,20/03/2016,"Fruit Box (Glasgow)",GBR,0.91,4.55,287,261.17,1305.85,1044.68,2016,March,food
81,21/03/2016,"BLT Sandwich (Madison)",USA,0.39,1.94,448,173.82,869.12,695.3,2016,March,food
82,22/03/2016,"Porridge (Potsdam)",DEU,0.54,2.71,109,59.08,295.39,236.31,2016,March,food
83,23/03/2016,"Ham & Cheese Toastie (Kirkland)",USA,0.88,4.4,144,126.72,633.6,506.88,2016,March,food
84,24/03/2016,"Cheese & Pickle Sandwich (SÃ¸nderborg)",DNK,0.36,1.79,457,163.61,818.03,654.42,2016,March,food
85,25/03/2016,"Sparkling Water (Salzburg)",AUT,0.41,2.03,260,105.56,527.8,422.24,2016,March,beverages
86,26/03/2016,"Ham & Cheese Toastie (Odense)",DNK,0.63,3.14,134,84.15,420.76,336.61,2016,March,food
87,27/03/2016,"Butter Croissant (London)",GBR,0.86,4.31,275,237.05,1185.25,948.2,2016,March,pastries
88,28/03/2016,"Sparkling Water (Canberra)",AUS,0.55,2.75,420,231,1155,924,2016,March,beverages
89,29/03/2016,"Porridge (San Diego)",USA,0.81,4.07,440,358.16,1790.8,1432.64,2016,March,food
90,30/03/2016,"Apple Juice (Toronto)",CAN,0.92,4.62,387,357.59,1787.94,1430.35,2016,March,beverages
91,31/03/2016,"Chicken Fajita Wrap (Toulouse)",FRA,0.68,3.38,341,230.52,1152.58,922.06,2016,March,food
92,01/04/2016,"Lemon & Ginger Tea (Kirkland)",USA,0.56,2.82,322,181.61,908.04,726.43,2016,April,beverages
93,02/04/2016,"Apple Juice (Hamburg)",DEU,0.36,1.8,128,46.08,230.4,184.32,2016,April,beverages
94,03/04/2016,"Porridge (Seattle)",USA,0.89,4.45,361,321.29,1606.45,1285.16,2016,April,food
95,04/04/2016,"Cheese & Pickle Sandwich (Sydney)",AUS,0.42,2.11,148,62.46,312.28,249.82,2016,April,food
96,05/04/2016,"Yoghurt (Brussels)",BEL,0.58,2.92,197,115.05,575.24,460.19,2016,April,food
97,06/04/2016,"Lemon & Ginger Tea (Birmingham)",GBR,1.01,5.04,300,302.4,1512,1209.6,2016,April,beverages
98,07/04/2016,"Chocolate Chip Muffin (Odense)",DNK,0.44,2.2,225,99,495,396,2016,April,pastries
99,08/04/2016,"Lemon & Ginger Tea (KrakÃ³w)",POL,0.91,4.57,262,239.47,1197.34,957.87,2016,April,beverages
100,09/04/2016,"Ham & Cheese Toastie (Copenhagan)",DNK,0.48,2.4,189,90.72,453.6,362.88,2016,April,food
101,10/04/2016,"Lemon & Ginger Tea (Hamilton)",NZL,0.41,2.06,116,47.79,238.96,191.17,2016,April,beverages
102,11/04/2016,"Chicken Salad Sandwich (Salzburg)",AUT,0.84,4.22,310,261.64,1308.2,1046.56,2016,April,food
103,12/04/2016,"Still Water (Canberra)",AUS,0.8,4,453,362.4,1812,1449.6,2016,April,beverages
104,13/04/2016,"Chocolate Twist (Austin)",USA,0.32,1.59,113,35.93,179.67,143.74,2016,April,pastries
105,14/04/2016,"Orange Juice (Munich)",DEU,0.43,2.17,169,73.35,366.73,293.38,2016,April,beverages
106,15/04/2016,"Lemon & Ginger Tea (Hamilton)",NZL,0.47,2.35,424,199.28,996.4,797.12,2016,April,beverages
107,16/04/2016,"Fruit Box (San Diego)",USA,0.53,2.63,489,257.21,1286.07,1028.86,2016,April,food
108,17/04/2016,"Fruit Box (Glasgow)",GBR,0.64,3.19,381,243.08,1215.39,972.31,2016,April,food
109,18/04/2016,"Still Water (Seattle)",USA,0.38,1.92,495,190.08,950.4,760.32,2016,April,beverages
110,19/04/2016,"Blueberry Muffin (Edinburgh)",GBR,0.44,2.2,451,198.44,992.2,793.76,2016,April,pastries
111,20/04/2016,"Apple Juice (Odense)",DNK,0.83,4.14,142,117.58,587.88,470.3,2016,April,beverages
112,21/04/2016,"Almond Croissant (Sydney)",AUS,0.45,2.25,111,49.95,249.75,199.8,2016,April,pastries
113,22/04/2016,"Chicken Fajita Wrap (Portland)",USA,0.94,4.68,444,415.58,2077.92,1662.34,2016,April,food
114,23/04/2016,"Sparkling Water (Austin)",USA,0.56,2.78,111,61.72,308.58,246.86,2016,April,beverages
115,24/04/2016,"Chicken Salad Sandwich (London)",GBR,0.53,2.63,352,185.15,925.76,740.61,2016,April,food
116,25/04/2016,"Cheese & Pickle Sandwich (Auckland)",NZL,0.63,3.17,176,111.58,557.92,446.34,2016,April,food
117,26/04/2016,"BLT Sandwich (Potsdam)",DEU,0.45,2.24,443,198.46,992.32,793.86,2016,April,food
118,27/04/2016,"Butter Croissant (Salzburg)",AUT,0.37,1.87,285,106.59,532.95,426.36,2016,April,pastries
119,28/04/2016,"Chocolate Twist (Auckland)",NZL,0.78,3.92,449,352.02,1760.08,1408.06,2016,April,pastries
120,29/04/2016,"Almond Croissant (Katowice)",POL,1,4.99,337,336.33,1681.63,1345.3,2016,April,pastries
121,30/04/2016,"Toast (Copenhagan)",DNK,0.91,4.56,464,423.17,2115.84,1692.67,2016,April,food
122,01/05/2016,"Chocolate Chip Muffin (Albuquerque)",USA,0.46,2.29,410,187.78,938.9,751.12,2016,May,pastries
123,02/05/2016,"Blueberry Muffin (KrakÃ³w)",POL,0.39,1.96,182,71.34,356.72,285.38,2016,May,pastries
124,03/05/2016,"BLT Sandwich (Sydney)",AUS,0.8,3.98,189,150.44,752.22,601.78,2016,May,food
125,04/05/2016,"Fruit Box (TromsÃ¸)",NOR,0.95,4.75,101,95.95,479.75,383.8,2016,May,food
126,05/05/2016,"Tea (Glasgow)",GBR,0.69,3.44,394,271.07,1355.36,1084.29,2016,May,beverages
127,06/05/2016,"Lemon & Ginger Tea (Kirkland)",USA,0.69,3.47,395,274.13,1370.65,1096.52,2016,May,beverages
128,07/05/2016,"Butter Croissant (Sydney)",AUS,0.64,3.2,468,299.52,1497.6,1198.08,2016,May,pastries
129,08/05/2016,"Peach Juice (KrakÃ³w)",POL,0.95,4.76,258,245.62,1228.08,982.46,2016,May,beverages
130,09/05/2016,"Cheese & Pickle Sandwich (Graz)",AUT,1.02,5.09,437,444.87,2224.33,1779.46,2016,May,food
131,10/05/2016,"Coffee (Boston)",USA,0.95,4.76,138,131.38,656.88,525.5,2016,May,beverages
132,11/05/2016,"Chocolate Twist (Galway)",IRL,0.31,1.57,336,105.5,527.52,422.02,2016,May,pastries
133,12/05/2016,"Toast (Geneva)",CHE,0.68,3.42,157,107.39,536.94,429.55,2016,May,food
134,13/05/2016,"Still Water (Seattle)",USA,0.8,3.98,144,114.62,573.12,458.5,2016,May,beverages
135,14/05/2016,"Chicken Fajita Wrap (Dresden)",DEU,0.77,3.83,411,314.83,1574.13,1259.3,2016,May,food
136,15/05/2016,"Cheese & Pickle Sandwich (Sydney)",AUS,0.82,4.09,341,278.94,1394.69,1115.75,2016,May,food
137,16/05/2016,"Fruit Box (Potsdam)",DEU,0.88,4.42,261,230.72,1153.62,922.9,2016,May,food
138,17/05/2016,"Lemon & Ginger Tea (Southampton)",GBR,0.51,2.53,181,91.59,457.93,366.34,2016,May,beverages
139,18/05/2016,"Orange Juice (Paris)",FRA,0.41,2.04,280,114.24,571.2,456.96,2016,May,beverages
140,19/05/2016,"Porridge (Odense)",DNK,0.89,4.43,343,303.9,1519.49,1215.59,2016,May,food
141,20/05/2016,"Toast (Seattle)",USA,0.32,1.59,413,131.33,656.67,525.34,2016,May,food
142,21/05/2016,"Still Water (Salzburg)",AUT,0.42,2.12,300,127.2,636,508.8,2016,May,beverages
143,22/05/2016,"Tomato Juice (Hamburg)",DEU,0.87,4.36,469,408.97,2044.84,1635.87,2016,May,beverages
144,23/05/2016,"Chocolate Chip Muffin (Auckland)",NZL,1,5,196,196,980,784,2016,May,pastries
145,24/05/2016,"Chicken Fajita Wrap (Galway)",IRL,0.62,3.08,359,221.14,1105.72,884.58,2016,May,food
146,25/05/2016,"Tomato Juice (Lausanne)",CHE,0.98,4.89,350,342.3,1711.5,1369.2,2016,May,beverages
147,26/05/2016,"Porridge (Geneva)",CHE,0.49,2.45,400,196,980,784,2016,May,food
148,27/05/2016,"Peach Juice (Melbourne)",AUS,0.44,2.21,361,159.56,797.81,638.25,2016,May,beverages
149,28/05/2016,"Granola Bar (Madison)",USA,0.84,4.21,489,411.74,2058.69,1646.95,2016,May,food
150,29/05/2016,"Orange Juice (Sydney)",AUS,0.87,4.36,295,257.24,1286.2,1028.96,2016,May,beverages
151,30/05/2016,"Peach Juice (Hamilton)",NZL,0.76,3.81,443,337.57,1687.83,1350.26,2016,May,beverages
152,31/05/2016,"Blueberry Muffin (Stuttgart)",DEU,0.95,4.75,146,138.7,693.5,554.8,2016,May,pastries
153,01/06/2016,"Green Tea (Brussels)",BEL,1,5.02,116,116.46,582.32,465.86,2016,June,beverages
154,02/06/2016,"Toast (Vancouver)",CAN,0.74,3.7,387,286.38,1431.9,1145.52,2016,June,food
155,03/06/2016,"Apple Juice (Toulouse)",FRA,0.49,2.43,171,83.11,415.53,332.42,2016,June,beverages
156,04/06/2016,"Yoghurt (Lausanne)",CHE,0.38,1.89,168,63.5,317.52,254.02,2016,June,food
157,05/06/2016,"Granola Bar (Albuquerque)",USA,0.53,2.64,218,115.1,575.52,460.42,2016,June,food
158,06/06/2016,"Blueberry Muffin (SÃ¸nderborg)",DNK,0.71,3.53,373,263.34,1316.69,1053.35,2016,June,pastries
159,07/06/2016,"Tomato Juice (Munich)",DEU,1.07,5.37,476,511.22,2556.12,2044.9,2016,June,beverages
160,08/06/2016,"Granola Bar (Copenhagan)",DNK,0.55,2.77,500,277,1385,1108,2016,June,food
161,09/06/2016,"Butter Croissant (Birmingham)",GBR,1.1,5.48,190,208.24,1041.2,832.96,2016,June,pastries
162,10/06/2016,"Chocolate Chip Muffin (Stuttgart)",DEU,0.74,3.69,317,233.95,1169.73,935.78,2016,June,pastries
163,11/06/2016,"Coffee (Melbourne)",AUS,0.49,2.45,385,188.65,943.25,754.6,2016,June,beverages
164,12/06/2016,"Blueberry Muffin (Hamburg)",DEU,0.4,1.98,443,175.43,877.14,701.71,2016,June,pastries
165,13/06/2016,"Peach Juice (Toulouse)",FRA,0.57,2.87,361,207.21,1036.07,828.86,2016,June,beverages
166,14/06/2016,"Apple Juice (Canberra)",AUS,0.74,3.69,377,278.23,1391.13,1112.9,2016,June,beverages
167,15/06/2016,"Butter Croissant (TromsÃ¸)",NOR,0.5,2.5,426,213,1065,852,2016,June,pastries
168,16/06/2016,"Chicken Fajita Wrap (Austin)",USA,0.59,2.97,328,194.83,974.16,779.33,2016,June,food
169,17/06/2016,"Orange Juice (Southampton)",GBR,0.89,4.44,368,326.78,1633.92,1307.14,2016,June,beverages
170,18/06/2016,"BLT Sandwich (Paris)",FRA,0.74,3.68,289,212.7,1063.52,850.82,2016,June,food
171,19/06/2016,"Apple Juice (Toulouse)",FRA,0.53,2.65,453,240.09,1200.45,960.36,2016,June,beverages
172,20/06/2016,"Orange Juice (Lausanne)",CHE,1,5,390,390,1950,1560,2016,June,beverages
173,21/06/2016,"Coffee (Dublin)",IRL,1.02,5.12,417,427.01,2135.04,1708.03,2016,June,beverages
174,22/06/2016,"Yoghurt (Hamilton)",NZL,1.04,5.19,207,214.87,1074.33,859.46,2016,June,food
175,23/06/2016,"Cheese & Pickle Sandwich (Munich)",DEU,0.39,1.94,135,52.38,261.9,209.52,2016,June,food
176,24/06/2016,"Ham & Cheese Toastie (Dresden)",DEU,0.91,4.54,172,156.18,780.88,624.7,2016,June,food
177,25/06/2016,"Tea (Portland)",USA,0.87,4.36,471,410.71,2053.56,1642.85,2016,June,beverages
178,26/06/2016,"Chicken Salad Sandwich (Salzburg)",AUT,1.09,5.46,430,469.56,2347.8,1878.24,2016,June,food
179,27/06/2016,"Peach Juice (Potsdam)",DEU,0.57,2.86,411,235.09,1175.46,940.37,2016,June,beverages
180,28/06/2016,"Toast (Stockholm)",SWE,0.79,3.93,367,288.46,1442.31,1153.85,2016,June,food
181,29/06/2016,"Peach Juice (Strasbourg)",FRA,0.54,2.69,150,80.7,403.5,322.8,2016,June,beverages
182,30/06/2016,"Chocolate Twist (Potsdam)",DEU,0.58,2.88,152,87.55,437.76,350.21,2016,June,pastries
183,01/07/2016,"Granola Bar (San Francisco)",USA,1.03,5.17,454,469.44,2347.18,1877.74,2016,July,food
184,02/07/2016,"Cheese & Pickle Sandwich (Manchester)",GBR,0.4,2.02,323,130.49,652.46,521.97,2016,July,food
185,03/07/2016,"Porridge (Vancouver)",CAN,0.5,2.49,133,66.23,331.17,264.94,2016,July,food
186,04/07/2016,"Ham & Cheese Toastie (Odense)",DNK,0.76,3.79,278,210.72,1053.62,842.9,2016,July,food
187,05/07/2016,"Porridge (San Francisco)",USA,0.58,2.9,485,281.3,1406.5,1125.2,2016,July,food
188,06/07/2016,"Fruit Box (Katowice)",POL,0.75,3.75,296,222,1110,888,2016,July,food
189,07/07/2016,"Ham & Cheese Toastie (Edinburgh)",GBR,1.01,5.03,293,294.76,1473.79,1179.03,2016,July,food
190,08/07/2016,"Sparkling Water (Salzburg)",AUT,0.43,2.13,193,82.22,411.09,328.87,2016,July,beverages
191,09/07/2016,"Ham & Cheese Toastie (London)",GBR,0.55,2.77,365,202.21,1011.05,808.84,2016,July,food
192,10/07/2016,"Butter Croissant (Odense)",DNK,0.34,1.69,222,75.04,375.18,300.14,2016,July,pastries
193,11/07/2016,"Still Water (Manchester)",GBR,0.37,1.84,425,156.4,782,625.6,2016,July,beverages
194,12/07/2016,"Still Water (Katowice)",POL,1.01,5.05,356,359.56,1797.8,1438.24,2016,July,beverages
195,13/07/2016,"Coffee (Potsdam)",DEU,0.45,2.24,343,153.66,768.32,614.66,2016,July,beverages
196,14/07/2016,"Tuna Melt Panini (Melbourne)",AUS,0.72,3.58,370,264.92,1324.6,1059.68,2016,July,food
197,15/07/2016,"Lemon & Ginger Tea (Hamilton)",NZL,0.74,3.72,255,189.72,948.6,758.88,2016,July,beverages
198,16/07/2016,"Ham & Cheese Toastie (Stuttgart)",DEU,0.31,1.57,382,119.95,599.74,479.79,2016,July,food
199,17/07/2016,"Tuna Melt Panini (Odense)",DNK,0.68,3.41,420,286.44,1432.2,1145.76,2016,July,food
200,18/07/2016,"Lemon & Ginger Tea (Austin)",USA,0.54,2.68,458,245.49,1227.44,981.95,2016,July,beverages
201,19/07/2016,"Tuna Melt Panini (Boston)",USA,0.4,2.01,335,134.67,673.35,538.68,2016,July,food
202,20/07/2016,"Cheese & Pickle Sandwich (Vancouver)",CAN,0.7,3.52,313,220.35,1101.76,881.41,2016,July,food
203,21/07/2016,"Lemon & Ginger Tea (Melbourne)",AUS,0.83,4.17,112,93.41,467.04,373.63,2016,July,beverages
204,22/07/2016,"Porridge (Stockholm)",SWE,0.7,3.51,290,203.58,1017.9,814.32,2016,July,food
205,23/07/2016,"Apple Juice (Paris)",FRA,0.63,3.13,241,150.87,754.33,603.46,2016,July,beverages
206,24/07/2016,"Sparkling Water (Melbourne)",AUS,0.3,1.5,477,143.1,715.5,572.4,2016,July,beverages
207,25/07/2016,"BLT Sandwich (Lausanne)",CHE,0.9,4.48,214,191.74,958.72,766.98,2016,July,food
208,26/07/2016,"Ham & Cheese Toastie (Brussels)",BEL,0.34,1.71,427,146.03,730.17,584.14,2016,July,food
209,27/07/2016,"Lemon & Ginger Tea (Southampton)",GBR,0.54,2.72,406,220.86,1104.32,883.46,2016,July,beverages
210,28/07/2016,"Tea (Geneva)",CHE,0.47,2.33,231,107.65,538.23,430.58,2016,July,beverages
211,29/07/2016,"Orange Juice (Melbourne)",AUS,0.84,4.2,397,333.48,1667.4,1333.92,2016,July,beverages
212,30/07/2016,"Ham & Cheese Toastie (Dresden)",DEU,0.69,3.46,448,310.02,1550.08,1240.06,2016,July,food
213,31/07/2016,"Still Water (Dresden)",DEU,1.01,5.07,379,384.31,1921.53,1537.22,2016,July,beverages
214,01/08/2016,"Chocolate Twist (San Diego)",USA,0.33,1.64,275,90.2,451,360.8,2016,August,pastries
215,02/08/2016,"Chicken Salad Sandwich (Graz)",AUT,0.65,3.25,351,228.15,1140.75,912.6,2016,August,food
216,03/08/2016,"Peach Juice (Odense)",DNK,0.6,3.01,106,63.81,319.06,255.25,2016,August,beverages
217,04/08/2016,"Orange Juice (Kirkland)",USA,0.76,3.79,178,134.92,674.62,539.7,2016,August,beverages
218,05/08/2016,"Toast (Stuttgart)",DEU,0.73,3.64,312,227.14,1135.68,908.54,2016,August,food
219,06/08/2016,"Porridge (Geneva)",CHE,0.55,2.76,372,205.34,1026.72,821.38,2016,August,food
220,07/08/2016,"Almond Croissant (Birmingham)",GBR,0.31,1.54,481,148.15,740.74,592.59,2016,August,pastries
221,08/08/2016,"Chocolate Chip Muffin (Strasbourg)",FRA,1.04,5.18,483,500.39,2501.94,2001.55,2016,August,pastries
222,09/08/2016,"Yoghurt (Munich)",DEU,0.49,2.44,421,205.45,1027.24,821.79,2016,August,food
223,10/08/2016,"Yoghurt (Hamilton)",NZL,0.97,4.85,477,462.69,2313.45,1850.76,2016,August,food
224,11/08/2016,"Butter Croissant (Toronto)",CAN,0.32,1.58,292,92.27,461.36,369.09,2016,August,pastries
225,12/08/2016,"Yoghurt (Birmingham)",GBR,0.51,2.54,323,164.08,820.42,656.34,2016,August,food
226,13/08/2016,"Porridge (Brussels)",BEL,0.88,4.42,225,198.9,994.5,795.6,2016,August,food
227,14/08/2016,"Tea (Geneva)",CHE,0.73,3.66,230,168.36,841.8,673.44,2016,August,beverages
228,15/08/2016,"Ham & Cheese Toastie (London)",GBR,1.07,5.34,197,210.4,1051.98,841.58,2016,August,food
229,16/08/2016,"Lemon & Ginger Tea (Odense)",DNK,1.07,5.36,304,325.89,1629.44,1303.55,2016,August,beverages
230,17/08/2016,"Tea (San Francisco)",USA,0.94,4.71,455,428.61,2143.05,1714.44,2016,August,beverages
231,18/08/2016,"Still Water (Dublin)",IRL,0.3,1.51,404,122.01,610.04,488.03,2016,August,beverages
232,19/08/2016,"Chicken Fajita Wrap (Edinburgh)",GBR,1.09,5.43,334,362.72,1813.62,1450.9,2016,August,food
233,20/08/2016,"Chicken Salad Sandwich (Vancouver)",CAN,0.75,3.73,117,87.28,436.41,349.13,2016,August,food
